age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,health,absences,gender,alc
18,2,1,4,2,0,5,4,2,5,2,M,1
18,4,3,1,0,0,4,4,2,3,9,M,1
15,4,3,2,3,0,5,3,4,5,0,F,0
15,3,3,1,4,0,4,3,3,3,10,F,0
17,3,2,1,2,0,5,3,5,5,2,M,1
17,3,2,2,3,0,5,4,3,4,13,M,0
15,4,4,1,3,0,5,2,3,4,7,F,0
16,4,3,1,3,0,4,3,4,5,0,F,0
14,2,3,3,3,0,5,2,2,3,1,F,1
17,3,3,1,3,0,4,3,3,3,10,M,1
16,2,2,2,3,0,5,3,5,5,5,M,1
14,5,5,2,2,0,4,3,3,3,1,M,0
16,3,3,1,2,0,3,3,3,3,0,F,1
15,5,5,1,2,0,5,3,4,3,1,M,0
15,3,4,2,4,0,4,2,4,3,1,F,0
15,4,4,1,2,0,5,3,1,4,10,M,1
17,5,4,1,2,0,4,4,3,2,1,F,1
16,1,2,1,3,0,4,4,3,1,2,F,0
15,5,4,1,3,0,5,2,3,3,15,M,0
14,2,3,3,3,0,5,3,3,3,1,M,1
17,4,3,0,3,0,3,3,3,2,1,F,0
17,4,4,0,1,0,3,4,2,2,1,M,1
15,5,4,1,3,0,4,2,3,2,11,F,0
17,4,3,0,4,0,2,3,1,0,4,F,0
17,3,2,2,3,0,4,3,5,5,8,F,1
17,3,2,1,3,0,5,3,4,4,14,F,0
17,1,1,2,3,0,4,3,4,4,9,M,1
16,4,4,1,2,0,4,3,4,3,8,M,1
14,4,4,2,2,0,5,2,3,4,0,F,0
19,1,2,2,2,0,3,3,2,2,24,M,1
17,4,3,1,2,0,4,3,5,5,2,F,0
16,6,4,0,2,0,3,3,4,4,0,M,0
15,5,4,0,3,0,4,2,2,2,0,F,0
16,3,4,2,2,0,4,3,4,3,4,F,1
16,5,5,1,2,0,4,4,3,3,4,M,0
18,4,3,0,2,0,3,4,3,2,8,M,1
