LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
25900,61064,94714,DebtCon,Office,2,0,0,98.80937484,0,23,34.56594425
26100,113266,182082,DebtCon,Sales,18,0,0,304.8524691,1,31,33.19394936
20900,62615,87904,DebtCon,Office,5,,,177.8648492,,15,36.83107615
25300,62540,101165,DebtCon,ProfExe,0,0,0,195.4513312,0,25,35.20086451
27700,73148,101462,DebtCon,ProfExe,10,0,0,264.6053894,0,33,40.47579335
16900,71672,96677,DebtCon,Other,1,0,0,153.7916948,0,30,35.32783617
17200,94937,133859,DebtCon,Mgr,6,,,248.1588756,2,42,36.79087533
6300,99469,116260,HomeImp,Office,23,0,0,124.7455955,1,12,35.64227011
14300,89984,121189,HomeImp,Mgr,4,0,2,137.5978233,0,25,41.61332522
26600,78491,121598,DebtCon,Other,4,1,0,84.58301005,1,33,41.34234309
5000,59900,80800,DebtCon,ProfExe,15,0,0,219.1333333,1,18,
11200,68890,84059,DebtCon,Office,12,0,0,254.0196894,3,36,41.4339438
17300,35070,63862,DebtCon,Other,16,0,0,125.1315694,1,17,37.93651965
15300,81500,102000,HomeImp,ProfExe,3.5,0,0,123.7666667,1,25,
21900,147638,193065,DebtCon,ProfExe,13,,,100.775926,1,23,29.5314444
11000,50716,61492,DebtCon,Other,3,0,1,90.23032976,0,20,38.25586202
25100,65633,100776,DebtCon,Other,15,0,1,141.9381303,0,29,40.62020969
20100,84965,110676,DebtCon,Mgr,18,0,0,244.02973,5,30,38.62783022
16400,85601,100078,HomeImp,Office,,0,0,176.6987412,1,25,43.02747053
30000,32657,76000,DebtCon,Other,,,,288.3333333,0,16,
18400,40673,60418,HomeImp,Other,27,0,0,247.6495789,0,13,24.98029896
12500,,52026,HomeImp,Mgr,6,,,173.7172393,,8,21.6211951
5700,28127,36524,HomeImp,ProfExe,10,0,0,181.2829568,0,13,24.33953357
33700,28956,45640,DebtCon,Other,0,0,0,59.04270368,0,6,16.49508064
26500,29751,57501,,Office,1,0,0,114.359189,2,7,37.07547187
10600,56352,75277,DebtCon,Office,5,0,0,98.37727819,2,15,26.24239431
18100,46145,72200,DebtCon,ProfExe,11,0,0,178.1920777,0,42,40.57402248
13400,95084,117279,HomeImp,Office,4,0,0,145.9623436,0,21,39.24466948
9400,81596,116738,HomeImp,Office,28,0,0,338.6290354,1,38,34.16951368
12400,,65317,HomeImp,Other,,0,0,349.2796108,0,6,35.71441843
18700,87958,114696,DebtCon,Other,20,0,0,301.9122949,0,17,24.41521969
13100,70368,87407,DebtCon,Other,2,0,0,232.9947127,3,26,29.66798564
13700,70763,78449,DebtCon,Office,12,0,0,271.6567243,5,36,40.56198365
9700,59633,70398,HomeImp,Other,4,0,0,239.0382058,1,16,38.86724899
4900,58688,63348,DebtCon,ProfExe,9,0,3,179.1625747,2,31,22.54439284
10000,147234,175300,HomeImp,Office,6,0,0,192.7666667,1,56,
20200,105278,180304,DebtCon,Office,6,0,0,218.6578187,3,24,41.80676309
14700,30306,44195,HomeImp,Other,9,0,1,87.43122628,2,12,29.40493516
12100,67927,94126,DebtCon,Other,2,0,0,35.53887812,2,3,38.84759708
15400,110900,126400,DebtCon,,16,0,0,179.5666667,1,18,
9400,,30455,HomeImp,Office,18,0,0,194.614216,0,16,39.00006486
14600,86199,95034,HomeImp,Office,,0,0,164.29505,1,25,41.54600252
18300,31427,60249,DebtCon,Other,16,0,0,110.5522774,0,18,40.00125599
23900,90244,120751,DebtCon,Self,3,0,0,194.9872525,1,26,35.40605965
11700,64278,76055,,Other,12,0,0,245.2951629,0,26,28.43996584
51700,181000,255026,DebtCon,ProfExe,6,0,0,253.7420986,1,33,40.01760328
6600,68733,81973,HomeImp,Other,5,0,0,96.9776672,0,14,42.21104678
6400,57887,74776,HomeImp,Mgr,3,0,1,126.3286437,0,22,28.75634543
10700,147477,181050,HomeImp,Office,6,0,0,190.0210849,1,55,34.69816239
8700,93759,119459,HomeImp,Office,24,0,0,138.09123,1,12,38.72971089
20400,,94446,HomeImp,Other,6,0,0,184.82429,1,16,40.77586435
17300,32736,49100,DebtCon,ProfExe,4,0,0,262.9484377,0,34,38.563081
13000,72931,96803,DebtCon,Other,6,0,0,208.6728918,2,18,41.05223501
53700,24158,82627,HomeImp,Other,2,2,0,250.6665426,6,14,43.26837545
10200,57142,72664,DebtCon,,19,0,0,158.1858039,1,12,32.49748842
4000,67625,80698,HomeImp,Mgr,11,,1,212.3493039,0,25,39.12871763
14300,60811,89324,DebtCon,ProfExe,8,0,0,205.6830398,0,20,20.98981184
14700,90662,111778,DebtCon,ProfExe,1,1,1,148.4232463,0,33,31.77010155
17800,,95639,,Other,,0,0,179.8493516,1,9,33.14225722
17300,51107,64135,HomeImp,Office,4,0,0,115.002195,0,17,32.25108612
8200,120837,176244,DebtCon,Other,8,0,0,196.7241605,0,20,34.74574315
10700,67065,96171,DebtCon,Office,9,0,0,205.0076003,3,28,41.58720119
4500,,49044,HomeImp,,0,0,0,,0,0,11.6527388
17200,53849,102326,HomeImp,Other,1,0,3,57.16674512,1,9,39.99115424
31500,10879,58089,DebtCon,Other,0,0,0,94.24803572,0,5,38.66240227
9100,48797,67761,DebtCon,Mgr,7,,3,116.9791548,3,11,37.79737881
20100,20153,94279,DebtCon,Other,21,0,0,227.1825172,2,40,36.6966301
1700,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,
18200,94727,136877,DebtCon,Mgr,15,0,0,168.9599682,2,26,36.05643747
15600,62622,106824,HomeImp,ProfExe,9,0,0,261.0214154,0,11,34.97887956
6800,178559,247611,DebtCon,Sales,,0,0,127.2341411,0,22,42.08390168
5600,69435,83489,DebtCon,ProfExe,14,0,0,200.418434,1,17,22.84109285
13000,44875,57713,DebtCon,Other,0,1,0,184.9903244,1,12,28.60207607
7000,58114,93391,HomeImp,ProfExe,6,0,0,200.0777551,1,24,31.73651179
17500,153839,194027,DebtCon,Other,7,0,0,,1,15,29.1136512
50000,,78703,HomeImp,Self,10,0,0,179.5666667,1,22,
11200,62752,73003,DebtCon,ProfExe,13,0,0,226.5659049,3,31,38.33979805
17000,60483,85015,HomeImp,ProfExe,4,0,0,116.5252651,0,12,27.29874318
9600,45240,60136,DebtCon,Other,2,0,1,83.06675091,0,19,38.45430002
7000,58843,75300,HomeImp,Other,1.5,0,0,103.6666667,0,7,
7700,14776,32287,,,,,,,,,34.88046232
20400,44746,63433,DebtCon,Office,5,0,0,176.3284966,2,26,36.67687831
26700,146193,185200,DebtCon,ProfExe,11,0,0,156.2294564,0,36,39.21027209
8500,53459,62678,DebtCon,Mgr,13,0,0,116.8634491,0,18,30.05290208
4300,68815,79852,HomeImp,Other,6,0,0,105.1207088,0,14,41.80637615
27700,54617,87722,DebtCon,Other,9,0,1,132.4113818,3,29,39.63110299
13300,35000,44195,HomeImp,Other,8,0,0,91.92352891,0,4,35.24312086
11100,,50262,HomeImp,Mgr,5,,,175.7568875,,8,22.95686376
13900,62968,84947,DebtCon,Office,13,0,0,239.7732321,3,37,42.23618914
14600,51613,77912,DebtCon,Office,0,0,0,182.8825754,0,25,32.22445241
11400,84380,202186,HomeImp,Self,13,0,0,34.91437168,,7,18.84034872
5000,51209,55320,DebtCon,,5,,1,69.1074656,,15,35.02507297
43300,18824,63487,DebtCon,Other,22,0,0,212.2548894,0,30,41.24673596
20400,153958,195834,DebtCon,Other,9,0,0,,1,15,31.13462438
32500,124548,169881,DebtCon,ProfExe,16,0,0,129.524283,1,17,28.85081359
2000,64536,87400,,Mgr,2.5,0,0,147.1333333,0,24,
13600,,35396,DebtCon,Other,11,,,101.7935233,1,8,32.66950311
31000,118000,167000,DebtCon,ProfExe,17,0,0,127.0333333,1,17,
16600,74681,95471,DebtCon,Other,6,0,0,187.6535104,4,19,40.45375316
18200,13925,94898,DebtCon,Other,22,0,0,223.901918,2,41,35.99822541
7900,77221,95316,DebtCon,ProfExe,4,0,0,116.3094934,0,25,35.42979658
9600,46683,61773,DebtCon,Office,1,0,0,171.058449,1,20,38.00528931
21700,59947,94103,DebtCon,Office,0,0,0,154.5525474,1,21,34.7717086
18300,90099,118545,DebtCon,ProfExe,12,0,0,140.5158506,3,18,38.89923169
8300,67839,76502,DebtCon,ProfExe,9,0,0,58.56017401,3,24,38.97429353
89200,54045,92924,DebtCon,Other,15,0,0,212.2796967,0,15,35.55659049
9300,54088,66961,DebtCon,Other,22,0,0,278.1604735,3,28,40.82354171
15600,58728,92443,HomeImp,ProfExe,6,0,0,128.0295993,0,13,28.48485856
26700,186185,233480,DebtCon,ProfExe,0,0,0,290.578837,1,32,41.74120105
25100,28778,50872,DebtCon,Other,28,0,0,304.1951532,,12,31.59946433
22800,96495,122362,HomeImp,Mgr,8,0,0,120.9792917,2,24,29.80983516
7300,93428,118184,HomeImp,Other,10,,,411.9520505,1,50,40.39647435
26700,,120179,DebtCon,Mgr,8,0,0,162.12582,0,27,35.09551993
10900,56793,68825,DebtCon,Other,3,0,0,225.8890415,0,9,34.72787519
27300,53223,86696,DebtCon,Office,0,0,0,96.07068788,0,22,34.51779051
16200,,95280,,Other,,0,0,194.4600162,1,10,33.12372818
41600,,53078,DebtCon,Other,,6,,108.8701167,,20,26.98944023
12800,91040,114331,DebtCon,Other,12,0,0,175.8773501,0,26,34.74718504
8000,82547,105361,DebtCon,ProfExe,24,0,0,52.59326412,2,13,32.16092259
21500,129361,284790,HomeImp,Mgr,3,0,0,199.2195955,0,15,30.40625943
13700,46611,65031,DebtCon,Other,2,0,0,179.4433323,0,13,37.70515917
18600,58992,86816,DebtCon,,4,0,0,103.5042953,0,16,40.95659824
13600,112223,144451,DebtCon,ProfExe,0,0,0,259.733117,1,45,35.31021701
13400,78465,97506,DebtCon,Other,5,3,0,71.44366499,1,21,24.47029999
39500,132485,192838,DebtCon,Mgr,,1,0,176.1238814,0,24,31.7374782
7000,78284,98214,HomeImp,Other,0,0,1,171.8383862,0,31,36.24796303
14000,42000,60000,DebtCon,Mgr,27,1,0,281.0666667,1,17,
8100,78508,200133,HomeImp,Self,14,0,0,9.1,,8,
14600,206126,235912,HomeImp,ProfExe,10,0,0,236.5081164,0,21,30.18121716
26200,141109,245422,HomeImp,ProfExe,28,0,0,343.7871223,1,18,38.11355594
46200,117227,174882,DebtCon,Self,12,0,0,195.6411868,0,5,40.62161928
17900,97335,167384,,Other,,0,,250.4871084,,24,39.15632328
12800,,,,,,,,,,,25.13244854
16000,65901,85627,DebtCon,Office,5,0,0,117.3570325,0,20,21.44534142
24500,52000,84915,DebtCon,Office,0.4,0,1,93.16666667,0,23,
23400,125750,165732,DebtCon,ProfExe,6,0,0,195.0845391,0,38,20.73303164
15500,28269,52822,HomeImp,Other,9,0,0,120.6109212,1,9,18.18289192
13000,49268,72430,DebtCon,ProfExe,19,0,0,192.3644746,0,15,23.61710487
8500,73208,88588,DebtCon,Mgr,10,0,0,114.5525823,0,23,30.08248898
28600,85174,127306,DebtCon,Other,1,0,0,193.0739135,1,24,40.65624858
24900,134427,169444,DebtCon,Other,7,1,0,202.4473261,0,19,35.3492119
19900,68830,107598,DebtCon,Office,10,0,0,202.9341954,2,13,30.95751627
15900,68304,92271,DebtCon,Other,1,1,2,113.2284034,2,25,32.88184693
14700,10098,51653,DebtCon,ProfExe,3,0,0,302.652472,0,16,18.42392382
26400,122105,165000,DebtCon,Mgr,1,0,0,234.4,2,24,
17000,55820,88683,DebtCon,Office,0.5,0,0,74.03333333,0,23,
27800,64804,97553,DebtCon,Other,15,1,0,105.0986638,1,17,32.17786106
14400,64500,83000,DebtCon,Other,10,0,0,83.2,3,11,
52200,,90240,HomeImp,Other,,0,0,341.8288117,0,7,24.01667109
6000,,69492,,,,,,,,,32.97719723
23100,72712,185787,,Other,10,0,0,362.1817044,1,16,31.86715522
11900,89595,107895,HomeImp,Mgr,9,0,0,250.4682419,0,24,30.30538811
22300,72814,186463,,Other,10,0,0,367.2473584,1,16,30.33358791
11900,61094,74842,,Other,12,0,0,250.1998344,0,26,29.73487407
17800,8642,88369,HomeImp,Other,13,0,0,265.022103,0,22,26.48079237
7100,64850,76985,HomeImp,Other,0,0,0,108.2171898,0,7,36.33755756
14300,80299,123339,,,,,,,,,35.31117092
12500,37562,57081,HomeImp,Other,22,0,1,129.486844,0,23,39.08300244
