LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
50000,220528,300900,HomeImp,Self,5,0,0,0,0,2,
22400,51470,68139,DebtCon,Mgr,9,0,0,31.16869601,2,8,37.95217991
21000,96000,125000,DebtCon,Sales,0.3,1,,116.9,1,19,
19000,15100,23200,HomeImp,Other,3.2,1,1,64.9,3,21,
31000,30000,72000,DebtCon,Mgr,20,2,0,127.3,1,14,
10000,91000,110000,DebtCon,Other,16,1,3,123.7666667,2,22,
17500,56647,78000,DebtCon,ProfExe,11,3,2,92.3,7,29,
10000,19225.53,35500,HomeImp,Office,5,0,2,186,1,10,
15000,399550,,HomeImp,Mgr,0.9,0,0,138.1666667,1,18,
14900,54359,78408,DebtCon,Self,4,3,0,129.9677556,0,24,3.016141451
5000,31000,47350,HomeImp,ProfExe,12,,,,,,
7500,57340,80000,DebtCon,ProfExe,4,0,5,86.23333333,3,14,
19900,93619,130000,DebtCon,Office,9,2,5,210.9666667,2,18,
9700,47000,82000,HomeImp,Other,,1,2,96.63333333,,8,
25000,110676,,DebtCon,Sales,8,2,0,119.3666667,0,6,
12000,50581,70171,HomeImp,Other,,0,2,206.3192338,1,12,29.84313667
20000,151982,,DebtCon,Self,,2,5,146.5,1,43,
53800,82324,154409,DebtCon,Other,10,,1,157.4840113,0,34,41.65904448
20000,73400,94000,DebtCon,Mgr,9,0,0,270,2,14,
10200,48670,90444,HomeImp,Other,,1,1,89.35547488,,7,39.15104729
9900,59206,75690,HomeImp,Office,6,0,2,288.3950585,1,19,30.77602786
12000,,33879,DebtCon,Other,,1,0,121.3795359,0,4,39.69469137
29000,101824,,DebtCon,Mgr,4,2,4,186.7,0,14,
21300,103989,143796,DebtCon,Other,9,2,0,135.2328361,3,20,44.38257789
20000,77900,105400,DebtCon,Mgr,4,0,0,110.6,0,17,
21000,,55000,DebtCon,Other,7,,,,,,
3000,20000,29750,DebtCon,Other,2,0,0,187.0666667,0,12,
5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,
7000,18000,46520,HomeImp,Office,17,0,1,183.1,0,23,
36500,84978,125000,DebtCon,Self,10,0,1,213.0666667,0,64,
8700,57141,70244,HomeImp,Other,8,0,0,106.8554282,0,19,31.89131426
16300,25004,65000,DebtCon,Other,2,0,0,199.8333333,0,7,
15000,,26100,DebtCon,Other,1.6,0,1,105.4666667,17,20,
20000,78500,109725,DebtCon,ProfExe,9.8,,1,117.6666667,2,30,
10000,48840,58740,HomeImp,Other,15,2,2,194.8,0,39,
15000,29000,105000,HomeImp,Other,7,0,4,97.66666667,1,8,
23800,55753,87971,HomeImp,Other,1,0,0,56.6670994,0,13,64.77572776
10000,,,HomeImp,Other,,,,,,,
9000,90969,108606,HomeImp,Mgr,5,5,2,113.2575091,5,28,27.34759661
13900,144263,167164,DebtCon,ProfExe,8,2,6,111.5886033,5,38,91.61259998
15000,63000,100050,DebtCon,Other,,1,0,135.3,1,20,
30200,80951,116160,DebtCon,ProfExe,19,4,0,130.3603618,0,58,50.35299879
14000,85200,,HomeImp,Other,8,1,0,188.6666667,4,17,
11700,62400,78000,DebtCon,Office,20,0,0,216.0666667,2,24,
5900,25972,41856,DebtCon,Other,2,0,2,157.9600114,3,27,40.62827818
12000,36000,51900,DebtCon,Other,0.1,0,0,247.5,1,10,
12000,118000,139350,HomeImp,ProfExe,2,0,0,153.1666667,2,17,
18000,62000,160800,HomeImp,ProfExe,15,0,0,129.8333333,1,11,
4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.15808483
6000,,43683,HomeImp,Other,,,,,,,21.93549881
7500,12115,35910,HomeImp,Office,13,3,6,234.9007508,0,24,24.66227667
15000,61438,127300,DebtCon,Self,4,1,3,134.2666667,1,17,
22000,74200,109800,DebtCon,ProfExe,1,1,0,317.5333333,4,42,
14000,46400,,DebtCon,Other,18,0,1,145.0666667,1,14,
12200,97000,109800,HomeImp,ProfExe,5,0,0,152.1333333,3,33,
10000,,,,Other,15,2,2,108.9333333,3,31,
10000,53297,74925,HomeImp,Other,14,0,1,88.53333333,2,15,
15100,54000,77542,HomeImp,ProfExe,13,1,1,122.5666667,1,26,
14100,52302,63589,HomeImp,ProfExe,6,0,0,130.3424672,4,8,34.79283165
15300,49421,67343,DebtCon,Other,4,0,0,57.92941509,6,22,42.92961419
9300,38115,60493,DebtCon,Other,14,0,0,91.93263226,0,18,29.63360847
8000,58000,73750,DebtCon,Mgr,22,0,4,221.4333333,1,20,
10100,,25300,DebtCon,Other,,1,0,122.3,1,5,
15000,,74750,DebtCon,,,,,,,,
7500,,,HomeImp,Other,20,,,157.3284228,0,20,
15200,58000,77000,DebtCon,Other,0.9,1,0,127.8666667,3,26,
11300,56602,71500,DebtCon,Office,11,2,1,52.8,12,20,
36600,397299,512650,DebtCon,ProfExe,4,0,0,197.5166839,0,21,43.45832742
11000,85008,73223,HomeImp,Mgr,7,0,2,197.1200454,0,23,41.44105202
7500,63500,86125,HomeImp,Other,5,0,0,136.1,0,8,
5100,30755,46735,HomeImp,Other,10,0,0,69,0,17,
7000,142251,157250,HomeImp,Other,5,0,0,87.83333333,4,21,
4500,39000,66000,HomeImp,Other,1,0,0,170.3666667,1,19,
5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,
10000,36000,68800,DebtCon,Other,13,0,0,118.6666667,6,15,
5000,,94119,HomeImp,Other,19,,,,,,
20000,47696.03,112700,DebtCon,Other,16,0,3,123.7666667,0,23,
33500,54079,66261,HomeImp,Mgr,15,4,0,142,0,14,
15000,125000,177100,HomeImp,ProfExe,10,3,1,221.1666667,0,14,
42000,102000,165000,DebtCon,Office,12,1,1,237.3666667,0,19,
60000,86573,159920,DebtCon,ProfExe,7,0,5,332.7333333,3,22,
26900,69000,106500,DebtCon,Sales,0.6,0,1,115.7,2,19,
10400,51200,76125,DebtCon,Other,12,0,0,132.3666667,0,16,
27700,97834,132396,HomeImp,ProfExe,18,0,2,303.9519145,2,26,6.887024127
5200,,9500,DebtCon,Other,1,0,1,81.1,1,2,
25900,58000,95000,,Self,3,0,1,34.66666667,6,28,
10000,50070,60670,HomeImp,Other,5,2,0,15.23333333,0,1,
8400,32000,49000,HomeImp,Mgr,12.6,0,3,41.3,2,18,
26500,82859,,HomeImp,Office,0.4,2,0,177.5,0,22,
13800,97778,116814,DebtCon,Other,15,1,3,120.7813962,1,22,23.20471329
25500,25828,44166,DebtCon,Other,,0,1,187.8625184,,17,39.42789016
4000,29562,37200,DebtCon,Other,6,0,0,92.13333333,1,26,
22000,82000,12500,DebtCon,ProfExe,3,0,0,117.7666667,6,23,
20000,14361,50000,DebtCon,Other,,0,1,216.0666667,1,10,
6500,13600,,HomeImp,Other,14,2,5,115.3666667,1,16,
31500,16000,43040,DebtCon,Other,0,1,1,98.43333333,1,11,
10000,13161,37700,DebtCon,Other,,3,0,79.1,2,9,
25000,98500,130000,DebtCon,Other,5,0,1,201.8333333,4,43,
15800,,58995,HomeImp,Other,1,2,3,194.9870881,1,45,52.20316451
15700,53478,68885,DebtCon,Other,5,0,0,83.69551611,5,17,40.34993
12500,69192,105300,DebtCon,Mgr,4,0,0,282.0333333,1,23,
11200,114000,139200,DebtCon,Mgr,5,0,0,213.5666667,1,36,
15000,98000,132790,DebtCon,Other,1.5,0,3,107.6666667,1,21,
19300,27747,43740,DebtCon,Office,7,1,0,167.6579808,1,16,35.08607055
8300,,47244,HomeImp,Other,6,,,,,,
10000,41741,56000,DebtCon,Office,3,0,0,20.23333333,2,6,
25000,71081,112500,DebtCon,Mgr,3,2,0,87.2,1,27,
3300,130518,164317,DebtCon,Other,9,0,6,192.289149,0,33,35.73055919
16500,52028,63745,DebtCon,Other,7,0,0,105.5303761,4,18,41.34484584
15000,18900,80400,DebtCon,ProfExe,7,0,1,142,0,12,
7900,55383,70020,DebtCon,Other,12,2,0,80.7789415,10,8,44.85897732
5000,,37500,HomeImp,Other,,0,3,107.1333333,10,5,
8500,18240,40200,HomeImp,Other,1,0,1,306.4,0,12,
40000,,850000,HomeImp,Other,17,0,0,186.6666667,1,24,
21200,69212,106273,DebtCon,ProfExe,12,0,1,97.2311228,0,22,18.11489583
15000,37000,58488,HomeImp,Other,2,0,0,266.9333333,0,48,
15000,48786,72500,DebtCon,Other,10,0,0,75.4,2,9,
5700,74172,79846,DebtCon,ProfExe,0,0,0,157.0097747,0,28,47.41522866
