"","upc","description","manufacturer","size_in_oz","log_price_coef"
"24",3800039118,"KELL FROOT LOOPS","KELLOGG",12.2,-3.426
"31",7192100336,"DIGIORNO THREE MEAT","TOMBSTONE",29.8,-3.136
"35",7218063979,"FRSC PEPPERONI PIZZA","TONYS",27.35,-3.116
"34",7218063052,"FRSC BRCK OVN ITL PEP PZ","TONYS",22.7,-2.997
"32",7192100337,"DIGRN SUPREME PIZZA","TOMBSTONE",32.7,-2.743
"21",3000006610,"QKER CAP N CRUNCH","QUAKER",14,-2.598
"33",7192100339,"DIGRN PEPP PIZZA","TOMBSTONE",28.3,-2.592
"36",7218063983,"FRSC 4 CHEESE PIZZA","TONYS",26.11,-2.528
"9",1111087398,"PL SR CRUST PEPPRN PIZZA","PRIVATE LABEL",29.6,-2.471
"13",2066200530,"NWMN OWN PEPPERONI PIZZA","KING",13.2,-2.416
"19",3000006340,"QKER LIFE ORIGINAL","QUAKER",13,-2.391
"14",2066200531,"NWMN OWN 4 CHEESE PIZZA","KING",13.3,-2.378
"7",1111087395,"PL SR CRUST SUPRM PIZZA","PRIVATE LABEL",32.7,-2.288
"15",2066200532,"NWMN OWN SUPREME PIZZA","KING",14.7,-2.276
"42",88491212971,"POST FRUITY PEBBLES","POST FOODS",11,-2.221
"20",3000006560,"QKER CAP N CRUNCH BERRIES","QUAKER",13,-2.142
"30",7110410471,"MKSL PRETZEL STICKS","MKSL",16,-2.03
"23",3800031838,"KELL FROSTED FLAKES","KELLOGG",15,-1.971
"11",1600027528,"GM CHEERIOS","GENERAL MI",18,-1.795
"17",2840004768,"RLDGLD TINY TWISTS PRTZL","FRITO LAY",16,-1.768
"18",2840004770,"RLDGLD PRETZEL STICKS","FRITO LAY",16,-1.76
"28",7110410455,"MKSL MINI TWIST PRETZELS","MKSL",16,-1.696
"10",1600027527,"GM HONEY NUT CHEERIOS","GENERAL MI",12.25,-1.66
"8",1111087396,"PL SR CRUST 3 MEAT PIZZA","PRIVATE LABEL",30.5,-1.655
"41",88491201427,"POST FM SZ HNYBNCH OT ALM","POST FOODS",18,-1.584
"38",7797508004,"SNYDR SOURDOUGH NIBBLERS","SNYDER S",16,-1.25
"40",88491201426,"POST HNY BN OTS HNY RSTD","POST FOODS",18,-1.212
"39",7797508006,"SNYDR FF MINI PRETZELS","SNYDER S",16,-1.156
"16",2840002333,"RLDGLD BRAIDED HONEY WHT","FRITO LAY",10,-1.112
"37",7797502248,"SNYDR PRETZEL RODS","SNYDER S",10,-1.109
"29",7110410470,"MKSL DUTCH PRETZELS","MKSL",16,-1.052
"22",3800031829,"KELL BITE SIZE MINI WHEAT","KELLOGG",18,-1.047
"6",1111085350,"PL BT SZ FRSTD SHRD WHT","PRIVATE LABEL",18,-0.635
"2",1111009497,"PL PRETZEL STICKS","PRIVATE LABEL",15,-0.278
"3",1111009507,"PL TWIST PRETZELS","PRIVATE LABEL",15,-0.253
"4",1111085319,"PL HONEY NUT TOASTD OATS","PRIVATE LABEL",12.25,-0.236
"5",1111085345,"PL RAISIN BRAN","PRIVATE LABEL",20,-0.149
"1",1111009477,"PL MINI TWIST PRETZELS","PRIVATE LABEL",15,0.089
"12",1600027564,"GM CHEERIOS","GENERAL MI",12,0.267
"25",7027312504,"SHURGD PRETZEL RODS","SHULTZ",12,0.583
"26",7027316204,"SHURGD MINI PRETZELS","SHULTZ",16,0.647
"27",7027316404,"SHURGD PRETZEL STICKS","SHULTZ",16,0.754
