Hour 0,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,target
2.550633333,2.5234,2.582333333,2.541666667,2.475733333,2.476233333,2.4558,2.4472,2.441733333,3.146133333,2.661733333,2.576,1
1.596933333,1.619566667,2.473733333,2.731133333,2.431133333,2.479666667,1.6902,1.332133333,1.375166667,1.0509,0.5859,2.6519,1
0.534933333,0.540466667,0.575366667,0.5265,0.5219,0.565333333,1.426466667,0.602066667,0.547433333,0.525066667,1.2703,0.393766667,0
1.085866667,0.651233333,0.6346,0.653,0.646066667,0.6284,0.611066667,0.612533333,0.6601,0.606066667,1.471866667,0.834533333,0
0.456,0.2863,0.310833333,0.250933333,0.277666667,0.308633333,0.6104,1.563533333,1.421866667,3.3244,3.207566667,1.425433333,1
0.391133333,0.281633333,0.365133333,0.373333333,0.302666667,0.518666667,1.518166667,2.711966667,1.409,1.410033333,1.4601,2.931333333,1
0.305533333,0.2193,0.254266667,0.295333333,0.2473,0.2877,0.6407,2.516033333,1.687866667,1.342833333,0.7722,0.2067,0
0.466533333,0.464466667,0.393533333,1.153966667,0.298433333,0.3477,0.734866667,2.3709,1.4534,0.4616,0.433066667,1.520066667,0
0.258033333,0.275666667,0.281466667,0.2465,0.269433333,0.2742,0.483566667,1.038966667,0.2784,0.255233333,0.237466667,0.283033333,0
0.507033333,0.4723,0.497166667,0.494033333,0.4825,0.510166667,1.261633333,0.708566667,0.4813,0.518033333,0.471333333,0.4884,0
0.354533333,0.313666667,0.303466667,0.3448,0.334533333,0.3642,0.9534,0.481133333,0.611166667,0.966733333,1.049166667,0.945033333,1
1.3194,1.480433333,1.286033333,1.064666667,0.327433333,0.4504,0.404966667,0.384566667,0.3178,1.1984,0.4413,0.406733333,0
0.439933333,0.392533333,0.273033333,0.336866667,0.903366667,0.268933333,0.309166667,1.3852,2.251033333,1.945233333,3.006666667,3.1564,1
0.389866667,0.383966667,0.3364,0.371933333,0.330366667,0.3406,0.8524,2.647066667,1.691333333,1.606266667,1.5908,1.5872,1
0.3891,0.3625,0.4018,0.371666667,0.745966667,0.7373,1.136333333,2.569366667,2.6847,1.8132,1.667466667,1.4839,1
0.278533333,0.319166667,0.290933333,0.2961,0.304433333,0.6714,2.219433333,3.058266667,3.297333333,2.054133333,1.474333333,1.371933333,1
2.144766667,1.021966667,0.4736,0.4387,0.398966667,0.436966667,0.988933333,3.0193,1.695566667,0.470966667,0.437466667,0.669233333,0
3.321666667,3.0756,1.415333333,0.602666667,0.329433333,0.3217,0.324433333,0.3015,1.091433333,1.122133333,0.549833333,1.4765,1
0.313833333,0.313466667,0.595633333,0.7181,0.303366667,0.283333333,1.463833333,2.0536,1.4446,1.4007,1.360433333,1.4004,1
0.257166667,0.308066667,0.277066667,0.2866,0.2723,1.169,0.365133333,0.263166667,0.2912,0.274866667,0.251733333,0.298233333,0
0.5705,0.5774,1.075933333,1.002933333,0.6014,0.547433333,0.563166667,0.583066667,0.563366667,0.550733333,0.562366667,0.566133333,0
0.560066667,0.369833333,0.3197,0.363866667,0.324633333,0.3238,0.3407,0.7921,0.946733333,3.2769,3.732933333,2.738766667,1
0.357433333,1.062733333,0.533166667,0.292766667,0.336866667,0.366533333,0.325966667,0.289666667,0.416266667,0.3872,0.399266667,2.396633333,0
2.3245,1.9731,1.773133333,1.159433333,0.293,0.3035,0.322866667,0.919566667,2.379066667,1.650033333,1.8921,1.822033333,1
1.3961,0.7798,0.338433333,0.344566667,0.292866667,0.274266667,0.326266667,1.3082,1.489366667,1.499766667,1.560866667,1.539166667,1
0.985033333,0.743,0.733733333,0.702466667,1.3834,0.695666667,0.9617,2.370066667,2.934066667,1.375466667,1.4278,1.453733333,1
0.368,0.374366667,0.308666667,0.3153,0.412066667,0.956,0.7115,1.897633333,1.739433333,1.410666667,1.427833333,1.392233333,1
0.3038,0.256633333,0.1987,0.256766667,0.189433333,0.335033333,0.698033333,0.653233333,0.5747,1.387366667,1.5777,2.227733333,1
0.319833333,0.341833333,0.339766667,0.314266667,1.026566667,0.369833333,0.319966667,0.3147,0.337466667,0.3551,0.320733333,0.302833333,0
1.404733333,1.4004,1.464966667,1.354,0.331233333,1.5524,1.170733333,0.757766667,0.859,1.489133333,0.888766667,0.631866667,0
0.3496,0.4738,0.7753,0.388933333,0.350833333,0.3363,0.373166667,0.415733333,0.311333333,0.3417,1.2088,2.6106,0
0.3391,0.325233333,0.293066667,0.326966667,0.269233333,0.320333333,1.5049,1.752533333,1.331966667,1.284633333,1.328033333,1.277066667,0
1.3317,1.6205,0.9017,0.3466,0.219133333,0.269733333,0.292633333,0.228066667,1.017,1.063466667,1.388633333,1.424733333,1
0.3271,0.204333333,0.3053,0.274033333,0.222466667,0.281666667,0.232466667,0.273733333,0.865733333,0.883033333,1.064166667,2.2494,0
0.300333333,0.313366667,0.252166667,0.310466667,0.2316,0.300033333,0.614366667,1.605033333,1.933066667,1.997266667,1.352733333,1.344166667,0
2.493733333,0.9909,0.7899,0.287466667,0.515533333,0.491733333,0.435666667,0.4426,0.5233,0.909866667,1.310566667,1.2982,0
0.356733333,0.288766667,0.228366667,0.290366667,0.286733333,0.283433333,0.235233333,0.262766667,0.309266667,0.2546,0.466466667,1.103766667,0
0.3748,0.4019,0.349133333,0.3987,0.3596,0.873433333,1.1159,1.827466667,1.609133333,1.3554,0.387266667,0.574533333,0
3.329033333,0.867,0.3796,0.379133333,0.420066667,0.4192,0.411466667,0.375066667,0.429733333,0.474733333,1.475733333,1.500333333,0
0.1649,0.1759,0.227266667,0.1756,1.218266667,0.802333333,0.495,0.162333333,1.06374359,2.148066667,1.478166667,1.446266667,0
0.460333333,0.405966667,0.390733333,0.361433333,0.4012,0.336133333,0.656766667,1.6942,0.861166667,1.158066667,1.160466667,0.322166667,0
0.302066667,0.316333333,0.2851,0.2651,0.323666667,1.024566667,0.256433333,0.3218,0.284666667,0.2778,0.2564,1.034166667,0
0.317066667,0.292833333,0.335066667,0.264166667,0.642733333,0.9396,0.315833333,0.2658,0.3033,0.309633333,0.290666667,0.339266667,0
0.2733,0.226533333,0.2033,0.2269,0.1958,0.218533333,0.442033333,0.744466667,0.4581,1.630466667,1.3176,0.545366667,1
0.893066667,0.302366667,0.348233333,0.307866667,0.226766667,0.2732,0.298833333,1.850666667,1.869066667,1.351,1.978933333,1.6985,0
0.390733333,0.407133333,0.3302,0.3945,0.378966667,0.343666667,0.705033333,1.708433333,1.284266667,0.577033333,0.328233333,0.388433333,0
0.3771,0.289133333,0.340166667,0.302133333,0.803166667,0.310533333,0.4614,0.984033333,1.457066667,0.842366667,1.909933333,2.117733333,1
0.5179,0.6539,0.340366667,0.269366667,0.3469,0.267966667,0.8976,2.3629,2.972933333,1.995233333,1.4271,3.970766667,1
0.461666667,0.477066667,0.4375,0.469066667,0.582866667,0.977633333,0.9064,2.1531,2.703866667,1.541033333,1.500766667,1.522266667,1
0.252633333,0.273666667,0.2751,0.292,0.276033333,0.260833333,1.098033333,2.667,1.8775,1.389366667,1.366566667,0.632233333,1
1.6086,1.3486,0.336266667,0.301633333,0.285066667,0.286833333,0.349133333,0.284933333,0.302366667,1.081,2.415266667,3.223366667,1
0.323066667,0.3149,0.307133333,0.282333333,0.292966667,0.319266667,1.015033333,0.849566667,1.980666667,0.775833333,0.348,0.295633333,0
0.383533333,0.318866667,0.353466667,0.363066667,0.359366667,0.721933333,0.579733333,2.1433,1.825633333,1.824466667,2.0974,1.8456,0
0.380566667,0.350766667,0.406933333,0.306066667,0.994266667,0.348,0.557533333,2.0029,2.2458,1.5216,0.6327,0.499933333,1
0.8864,0.466966667,0.564133333,0.4411,0.617666667,0.427366667,0.435766667,0.704866667,0.9307,0.924933333,0.8739,2.382866667,1
0.332133333,0.293066667,0.290933333,0.305733333,0.265033333,0.306466667,0.9894,1.104266667,2.301833333,2.969066667,1.786166667,1.6155,1
0.385233333,0.368966667,0.338766667,0.344,0.319933333,0.3601,0.552333333,2.976,2.463,2.131533333,1.8323,2.070566667,1
0.823866667,0.506466667,0.298233333,0.342233333,0.3387,0.3309,0.652733333,1.692966667,1.7427,1.661166667,1.785766667,1.421933333,1
0.787333333,0.4217,0.327533333,0.329933333,0.308466667,0.345166667,0.761433333,2.874433333,2.363233333,1.7861,3.372,3.285733333,1
0.293466667,0.295266667,0.284933333,0.309533333,0.743633333,0.306966667,0.802366667,3.216266667,1.8122,1.520133333,1.522133333,1.5229,1
0.269533333,0.302366667,0.2827,0.3691,0.875133333,0.264,0.802833333,2.4608,3.173766667,2.721433333,1.960541667,2.079,1
0.294966667,0.398733333,0.287133333,0.343666667,0.3443,0.310333333,1.2319,2.4789,2.465413793,1.3346,1.435233333,1.397866667,1
0.372266667,0.323333333,0.375766667,0.3348,0.337633333,0.353366667,0.887933333,1.467633333,1.6671,1.797066667,2.2687,2.552366667,1
0.542933333,0.2709,0.269133333,0.311266667,0.804033333,0.326666667,0.300633333,0.391566667,0.782466667,1.237566667,1.9067,0.383733333,1
1.108433333,0.272966667,0.269566667,0.3,0.2778,0.2727,0.7643,2.4165,1.817333333,1.778966667,1.7233,1.3493,1
