Year (AverageWorldTemperatures1901-20),Actual Earth Surface,Anomaly Earth's Surface
1/1/1961,57.18,0.18
1/1/1962,57.198,0.198
1/1/1963,57.216,0.216
1/1/1964,56.748,-0.252
1/1/1965,56.874,-0.126
1/1/1966,56.982,-0.018
1/1/1967,57,0
1/1/1968,56.946,-0.054
1/1/1969,57.198,0.198
1/1/1970,57.108,0.108
1/1/1971,56.874,-0.126
1/1/1972,57.072,0.072
1/1/1973,57.342,0.342
1/1/1974,56.892,-0.108
1/1/1975,57.018,0.018
1/1/1976,56.874,-0.126
1/1/1977,57.378,0.378
1/1/1978,57.216,0.216
1/1/1979,57.414,0.414
1/1/1980,57.504,0.504
1/1/1981,57.594,0.594
1/1/1982,57.342,0.342
1/1/1983,57.648,0.648
1/1/1984,57.306,0.306
1/1/1985,57.288,0.288
1/1/1986,57.432,0.432
1/1/1987,57.702,0.702
1/1/1988,57.702,0.702
1/1/1989,57.54,0.54
1/1/1990,57.81,0.81
1/1/1991,57.702,0.702
1/1/1992,57.432,0.432
1/1/1993,57.504,0.504
1/1/1994,57.63,0.63
1/1/1995,57.846,0.846
1/1/1996,57.576,0.576
1/1/1997,57.936,0.936
1/1/1998,58.17,1.17
1/1/1999,57.792,0.792
1/1/2000,57.756,0.756
1/1/2001,58.026,1.026
1/1/2002,58.116,1.116
1/1/2003,58.152,1.152
1/1/2004,58.044,1.044
1/1/2005,58.206,1.206
1/1/2006,58.134,1.134
1/1/2007,58.116,1.116
1/1/2008,57.972,0.972
1/1/2009,58.152,1.152
1/1/2010,58.296,1.296
1/1/2011,58.026,1.026
1/1/2012,58.152,1.152
1/1/2013,58.206,1.206
1/1/2014,58.332,1.332
1/1/2015,58.674,1.674
1/1/2016,58.782,1.782
1/1/2017,58.638,1.638
1/1/2018,58.476,1.476
1/1/2019,58.71,1.71
1/1/2020,58.764,1.764
1/1/2021,58.512,1.512
